"lon","lat"
124,-30
124,-28
124,-26
124,-24
124,-22
124,-20
124,-18
124,42
124,44
124,46
124,48
124,50
124,52
124,54
124,56
124,58
124,60
126,-30
126,-28
126,-26
126,-24
126,-22
126,-20
126,-18
126,-16
126,8
126,42
126,44
126,46
126,48
126,50
126,52
126,54
126,56
126,58
126,60
128,-30
128,-28
128,-26
128,-24
128,-22
128,-20
128,-18
128,-16
128,-14
128,36
128,38
128,40
128,42
128,44
128,46
128,48
128,50
128,52
128,54
128,56
128,58
128,60
130,-30
130,-28
130,-26
130,-24
130,-22
130,-20
130,-18
130,-16
130,44
130,46
130,48
130,50
130,52
130,54
130,56
130,58
130,60
132,-30
132,-28
132,-26
132,-24
132,-22
132,-20
132,-18
132,-16
132,-14
132,44
132,46
132,48
132,50
132,52
132,54
132,56
132,58
132,60
134,-30
134,-28
134,-26
134,-24
134,-22
134,-20
134,-18
134,-16
134,-14
134,-12
134,44
134,46
134,48
134,50
134,52
134,54
134,56
134,58
134,60
136,-30
136,-28
136,-26
136,-24
136,-22
136,-20
136,-18
136,-16
136,-14
136,-12
136,46
136,48
136,50
136,52
136,54
136,56
136,58
136,60
138,-30
138,-28
138,-26
138,-24
138,-22
138,-20
138,-18
138,-16
138,-4
138,-2
138,36
138,48
138,50
138,52
138,58
138,60
140,-30
140,-28
140,-26
140,-24
140,-22
140,-20
140,-18
140,-6
140,-4
140,38
140,50
140,52
140,60
142,-30
142,-28
142,-26
142,-24
142,-22
142,-20
142,-18
142,-8
142,-6
142,-4
142,40
142,60
144,-30
144,-28
144,-26
144,-24
144,-22
144,-20
144,-18
144,-16
144,-14
144,-6
144,-4
144,44
146,-30
146,-28
146,-26
146,-24
146,-22
146,-20
146,-18
146,-6
148,-30
148,-28
148,-26
148,-24
148,-22
148,-20
148,-8
150,-30
150,-28
150,-26
150,-24
152,-30
152,-28
152,-26
152,-24
154,60
158,54
158,56
158,58
160,56
160,58
162,58
162,60
200,60
202,60
204,60
206,60
222,60
224,60
226,60
228,58
228,60
230,56
230,58
230,60
232,54
232,56
232,58
232,60
234,52
234,54
234,56
234,58
234,60
236,52
236,54
236,56
236,58
236,60
238,40
238,42
238,44
238,46
238,48
238,50
238,52
238,54
238,56
238,58
238,60
240,36
240,38
240,40
240,42
240,44
240,46
240,48
240,50
240,52
240,54
240,56
240,58
240,60
242,36
242,38
242,40
242,42
242,44
242,46
242,48
242,50
242,52
242,54
242,56
242,58
242,60
244,34
244,36
244,38
244,40
244,42
244,44
244,46
244,48
244,50
244,52
244,54
244,56
244,58
244,60
246,30
246,34
246,36
246,38
246,40
246,42
246,44
246,46
246,48
246,50
246,52
246,54
246,56
246,58
246,60
248,32
248,34
248,36
248,38
248,40
248,42
248,44
248,46
248,48
248,50
248,52
248,54
248,56
248,58
248,60
250,30
250,32
250,34
250,36
250,38
250,40
250,42
250,44
250,46
250,48
250,50
250,52
250,54
250,56
250,58
250,60
252,28
252,30
252,32
252,34
252,36
252,38
252,40
252,42
252,44
252,46
252,48
252,50
252,52
252,54
252,56
252,58
252,60
254,26
254,28
254,30
254,32
254,34
254,36
254,38
254,40
254,42
254,44
254,46
254,48
254,50
254,52
254,54
254,56
254,58
254,60
256,20
256,22
256,24
256,26
256,28
256,30
256,32
256,34
256,36
256,38
256,40
256,42
256,44
256,46
256,48
256,50
256,52
256,54
256,56
256,58
256,60
258,20
258,22
258,24
258,26
258,28
258,30
258,32
258,34
258,36
258,38
258,40
258,42
258,44
258,46
258,48
258,50
258,52
258,54
258,56
258,58
258,60
260,18
260,20
260,22
260,24
260,26
260,28
260,30
260,32
260,34
260,36
260,38
260,40
260,42
260,44
260,46
260,48
260,50
260,52
260,54
260,56
260,58
260,60
262,18
262,20
262,22
262,24
262,26
262,28
262,30
262,32
262,34
262,36
262,38
262,40
262,42
262,44
262,46
262,48
262,50
262,52
262,54
262,56
262,58
262,60
264,18
264,30
264,32
264,34
264,36
264,38
264,40
264,42
264,44
264,46
264,48
264,50
264,52
264,54
264,56
264,58
264,60
266,18
266,32
266,34
266,36
266,38
266,40
266,42
266,44
266,46
266,48
266,50
266,52
266,54
266,56
266,58
268,16
268,18
268,32
268,34
268,36
268,38
268,40
268,42
268,44
268,46
268,48
268,50
268,52
268,54
268,56
270,16
270,18
270,32
270,34
270,36
270,38
270,40
270,42
270,44
270,46
270,50
270,52
270,54
270,56
272,16
272,20
272,32
272,34
272,36
272,38
272,40
272,42
272,44
272,46
272,50
272,52
272,54
272,56
274,14
274,16
274,32
274,34
274,36
274,38
274,40
274,42
274,50
274,52
274,54
274,56
276,12
276,14
276,16
276,32
276,34
276,36
276,38
276,40
276,42
276,44
276,50
276,52
276,54
278,30
278,32
278,34
278,36
278,38
278,40
278,48
278,50
278,52
280,-4
280,34
280,36
280,38
280,40
280,48
280,50
282,-8
282,-6
282,-4
282,-2
282,0
282,2
282,36
282,38
282,40
282,42
282,46
282,48
282,50
282,52
282,54
284,-10
284,-8
284,-6
284,-4
284,-2
284,0
284,2
284,4
284,6
284,8
284,42
284,46
284,48
284,50
284,52
284,54
284,56
284,58
284,60
286,-14
286,-12
286,-10
286,-8
286,-6
286,-4
286,-2
286,0
286,2
286,4
286,6
286,8
286,10
286,42
286,44
286,46
286,48
286,50
286,52
286,54
286,56
286,58
286,60
288,-14
288,-12
288,-10
288,-8
288,-6
288,-4
288,-2
288,0
288,2
288,4
288,6
288,8
288,10
288,12
288,44
288,46
288,48
288,50
288,52
288,54
288,56
288,58
288,60
290,-30
290,-28
290,-16
290,-14
290,-12
290,-10
290,-8
290,-6
290,-4
290,-2
290,0
290,2
290,4
290,6
290,8
290,10
290,46
290,48
290,50
290,52
290,54
290,56
290,58
290,60
