X,Y,Z0
124.0,-16.0,0.001971316337585405
124.0,-14.0,0.0015686035156250444
124.0,-12.0,0.0004771500825881958
124.0,-10.0,-0.00035342276096339553
124.0,-8.0,-0.0001236081123352495
124.0,-6.0,-0.0001470237970352395
124.0,-4.0,-0.000242576003074646
124.0,-2.0,-0.00019575655460357666
124.0,0.0,-0.00019315779209139183
124.0,2.0,-0.00028150081634525925
124.0,4.0,-0.0003483414649962935
124.0,6.0,-0.00026287734508512184
124.0,8.0,-0.0004941970109939575
124.0,10.0,-0.0006296038627624512
124.0,12.0,-0.0007345110177994219
124.0,14.0,-0.0008824169635772705
124.0,16.0,-0.0003828972578048262
124.0,18.0,-0.0005043685436249001
124.0,20.0,-3.542006015777588e-05
124.0,22.0,0.00042697787284851074
124.0,24.0,0.0001816481351852861
124.0,26.0,-0.0004377245903015581
124.0,28.0,-0.0015110641717910323
124.0,30.0,-0.003813347220420815
124.0,32.0,-0.003037872910499617
124.0,34.0,-0.0022388517856597456
124.0,36.0,-0.0015621244907378928
124.0,38.0,-0.004284799098968506
124.0,40.0,-0.003775298595428467
126.0,-14.0,0.0005449235439300981
126.0,-12.0,0.00043052732944492966
126.0,-10.0,-0.0007141321897506936
126.0,-8.0,-0.00015281140804290771
126.0,-6.0,-0.00037135183811187744
126.0,-4.0,-8.800625801086426e-05
126.0,-2.0,-0.0006470799446105513
126.0,0.0,-0.0004192531108856423
126.0,2.0,-0.0003455340862273948
126.0,4.0,-0.0003668397665024248
126.0,6.0,-0.00017770826816554397
126.0,10.0,-0.0006224960088729858
126.0,12.0,-0.0005077630281448142
126.0,14.0,-0.00029518306255338356
126.0,16.0,-0.0005273520946502686
126.0,18.0,-0.00044046640396122605
126.0,20.0,-7.680654525754615e-05
126.0,22.0,0.0004486680030822976
126.0,24.0,0.0009921342134475708
126.0,26.0,0.0003665894269943015
126.0,28.0,-0.0006652951240539995
126.0,30.0,-0.0007718890905380471
126.0,32.0,-0.0004841566085815874
126.0,34.0,0.0002582252025604692
126.0,36.0,-0.001295873522758506
126.0,38.0,-0.0021524161100388017
126.0,40.0,-0.0023943513631821123
128.0,-12.0,-9.645819664005906e-05
128.0,-10.0,-0.0003822833299637063
128.0,-8.0,-0.0006638735532760176
128.0,-6.0,-0.0008129566907882912
128.0,-4.0,-0.0004307657480240312
128.0,-2.0,-0.0006630152463913408
128.0,0.0,-0.0006216704845428689
128.0,2.0,-0.0005754858255386797
128.0,4.0,-0.000284713506698564
128.0,6.0,-0.00010189414024353027
128.0,8.0,-0.00011504292488095924
128.0,10.0,-9.280443191483911e-06
128.0,12.0,-0.0001441061496734175
128.0,14.0,-0.00013164281845090553
128.0,16.0,-0.00022279918193812698
128.0,18.0,-0.0003327876329421997
128.0,20.0,-7.80045986175093e-05
128.0,22.0,0.0005182743072509322
128.0,24.0,0.0010806232690810935
128.0,26.0,0.0009602189064026323
128.0,28.0,0.0003233075141906294
128.0,30.0,-5.415081977822034e-06
128.0,32.0,9.153783321380615e-05
128.0,34.0,9.988546371464402e-05
130.0,-14.0,-0.0003258615732193437
130.0,-12.0,-0.0017198026180267334
130.0,-10.0,-0.001163482666015625
130.0,-8.0,-0.0005492925643920676
130.0,-6.0,-0.0005157768726349321
130.0,-4.0,-0.0010537683963776079
130.0,-2.0,-0.0006070405244826826
130.0,0.0,-0.0004677593708037886
130.0,2.0,-0.0003620505332946333
130.0,4.0,-0.0003431171178818193
130.0,6.0,-0.00021453797817228004
130.0,8.0,6.756186485268323e-06
130.0,10.0,-3.105103969569534e-05
130.0,12.0,-4.61041927335426e-06
130.0,14.0,-9.610056877140671e-05
130.0,16.0,-0.0002927064895630327
130.0,18.0,-0.00035375356674194336
130.0,20.0,-7.6264142989668215e-06
130.0,22.0,0.0007017165422439353
130.0,24.0,0.0012708127498626265
130.0,26.0,0.0014403760433197021
130.0,28.0,0.0011276096105575784
130.0,30.0,0.0005040556192398293
130.0,32.0,7.741749286649391e-05
130.0,34.0,7.60108232498169e-05
130.0,36.0,-4.5707821845986096e-05
130.0,38.0,0.00046521127223964065
130.0,40.0,-1.3393163680985865e-05
130.0,42.0,-0.001377475261688188
132.0,-12.0,-0.0011122345924376997
132.0,-10.0,-0.001486977934837319
132.0,-8.0,-0.0007590860128402488
132.0,-6.0,-0.0007945835590362771
132.0,-4.0,-0.00035142600536341995
132.0,-2.0,-0.0008691728115082231
132.0,0.0,-0.0006023615598678145
132.0,2.0,-0.0003713071346282959
132.0,4.0,-0.0001391083002090232
132.0,6.0,-0.00010702908039095238
132.0,8.0,-0.00011018812656404808
132.0,10.0,-5.02169132232666e-05
132.0,12.0,-0.0002616286277771218
132.0,14.0,-3.8501620292619165e-05
132.0,16.0,-0.0001929253339767456
132.0,18.0,-0.0003205984830856323
132.0,20.0,9.554624557539526e-06
132.0,22.0,0.0007546782493591531
132.0,24.0,0.001670029759406999
132.0,26.0,0.001659077405929521
132.0,28.0,0.001301443576812722
132.0,30.0,0.0007679939270019975
132.0,32.0,0.00031373798847200707
132.0,34.0,9.006857872007057e-05
132.0,36.0,9.827911853788063e-05
132.0,38.0,0.00029417574405665725
132.0,40.0,-3.0025839805603027e-05
132.0,42.0,-0.0006006151437759621
134.0,-10.0,-0.0011345267295836958
134.0,-8.0,-0.0008933335542679055
134.0,-6.0,-0.0009239166975021362
134.0,-4.0,-0.0005565494298934714
134.0,-2.0,-0.0004604220390319602
134.0,0.0,-0.0003912985324859841
134.0,2.0,-0.0003546595573424849
134.0,4.0,-0.0002763688564300093
134.0,6.0,-0.00010838508605959252
134.0,8.0,-0.00014324188232417434
134.0,10.0,-1.8656253814697266e-05
134.0,12.0,-4.965364933018357e-05
134.0,14.0,-0.00025185048580167457
134.0,16.0,-0.00028343796730045945
134.0,18.0,-0.0004885822534561601
134.0,20.0,-4.296004772186279e-05
134.0,22.0,0.000392562150955178
134.0,24.0,0.0014365881681441817
134.0,26.0,0.0013465583324432373
134.0,28.0,0.0008465707302093284
134.0,30.0,0.0008123070001602173
134.0,32.0,0.00039831697940828636
134.0,34.0,-6.386041641237572e-05
134.0,36.0,6.630718708033889e-05
134.0,38.0,0.00014787912368774414
134.0,40.0,-0.0001409769058227095
134.0,42.0,-0.0006210237741470781
136.0,-10.0,-0.0007425695657730103
136.0,-8.0,-0.000633469223976113
136.0,-6.0,-0.0011276602745056152
136.0,-4.0,-0.0005387067794799805
136.0,-2.0,-0.0003747761249541792
136.0,0.0,-0.00029832422733311326
136.0,2.0,-0.0001982957124709861
136.0,4.0,-0.0001413702964783159
136.0,6.0,-0.00012802481651308373
136.0,8.0,-0.00010181963443756104
136.0,10.0,-7.432699203446802e-06
136.0,12.0,-0.0001628100872039795
136.0,14.0,-0.0003732919692993608
136.0,16.0,-0.00036619901657108933
136.0,18.0,-0.0003696948289870772
136.0,20.0,-0.0001744091510772483
136.0,22.0,0.0003692328929900679
136.0,24.0,0.001157242059707686
136.0,26.0,0.0013988018035888672
136.0,28.0,0.0012051671743392722
136.0,30.0,0.000834733247756958
136.0,32.0,0.00021368861198423073
136.0,34.0,9.619593620302513e-05
136.0,36.0,1.0725855827287134e-05
136.0,38.0,-0.00023280084133148193
136.0,40.0,-0.00044812262058258057
136.0,42.0,-0.0011770635843276755
136.0,44.0,-0.0008686095476150291
138.0,-14.0,0.0003978848457336648
138.0,-12.0,-0.001136901974678084
138.0,-10.0,-0.0008243024349212646
138.0,-8.0,-0.000615045428276062
138.0,-6.0,-0.0005926728248596413
138.0,0.0,-0.0001294165849685669
138.0,2.0,-0.0002702087163924949
138.0,4.0,-7.035434246061012e-05
138.0,6.0,-6.070733070373535e-05
138.0,8.0,-5.4451823234602514e-05
138.0,10.0,-0.00022546052932737037
138.0,12.0,-0.00020737648010249465
138.0,14.0,-0.00021807551383967727
138.0,16.0,-0.0003336220979690552
138.0,18.0,-0.0004992544651031272
138.0,20.0,-0.0002443581819534524
138.0,22.0,0.00042117536067964867
138.0,24.0,0.0014887541532516702
138.0,26.0,0.0019201368093491045
138.0,28.0,0.0013813912868499978
138.0,30.0,0.0009117186069488303
138.0,32.0,0.00047809481620786354
138.0,34.0,0.0003548741340637651
138.0,38.0,-0.0003549844026565774
138.0,40.0,-0.0005312234163283858
138.0,42.0,-0.0009270161390304565
138.0,44.0,-0.0012481749057769997
138.0,46.0,-0.0010868966579437034
138.0,54.0,-0.0006157845258712991
138.0,56.0,0.0004970073699951394
140.0,-16.0,-0.00152521133422856
140.0,-14.0,-0.0021574020385741743
140.0,-12.0,-0.0005567312240600808
140.0,-10.0,-0.0007010400295257568
140.0,-8.0,-0.0007679909467697144
140.0,-2.0,-0.00017036497592926025
140.0,0.0,-0.00015575587749483422
140.0,2.0,-0.00015756189823146194
140.0,4.0,-0.00014773011207580566
140.0,6.0,-0.00010351836681365967
140.0,8.0,-0.00015753209590907424
140.0,10.0,-7.396936416625977e-05
140.0,12.0,-0.00019606947898864746
140.0,14.0,-0.00021255910396578148
140.0,16.0,-0.0003364354372024092
140.0,18.0,-0.0004263967275619507
140.0,20.0,-0.00027327239513397217
140.0,22.0,0.000522103905677751
140.0,24.0,0.0013517946004867332
140.0,26.0,0.0016315370798111184
140.0,28.0,0.0013126522302627786
140.0,30.0,0.0007117360830306563
140.0,32.0,0.0008948326110840288
140.0,34.0,0.0004134058952331987
140.0,36.0,0.00034792423248286575
140.0,40.0,-0.0007365465164184126
140.0,42.0,-0.0015761643648147805
140.0,44.0,-0.001962947845459029
140.0,46.0,-0.0007269173860550149
140.0,48.0,-0.00048344433307645485
140.0,54.0,-0.00037544667720790237
140.0,56.0,0.00037791430950162574
140.0,58.0,-0.00043634772300715774
142.0,-16.0,-0.0021053016185760276
142.0,-14.0,-0.002445116639137268
142.0,-12.0,-0.0009607464075088723
142.0,-10.0,-0.0005505353212356123
142.0,-2.0,-7.44849443435891e-05
142.0,0.0,-9.968876838684082e-05
142.0,2.0,-4.87685203551802e-05
142.0,4.0,-4.0531158447265625e-06
142.0,6.0,-6.323158740995094e-05
142.0,8.0,-6.631910800936058e-05
142.0,10.0,-8.243918418882057e-05
142.0,12.0,-0.00013336539268493652
142.0,14.0,-0.00022962093353273705
142.0,16.0,-0.0003939032554626243
142.0,18.0,-0.0006219983100891335
142.0,20.0,-0.00032802224159245164
142.0,22.0,0.0004524618387222734
142.0,24.0,0.001415342092514038
142.0,26.0,0.0024246960878372414
142.0,28.0,0.0014262855052947776
142.0,30.0,0.00111572146415706
142.0,32.0,0.0006205260753631148
142.0,34.0,0.0006561040878295676
142.0,36.0,0.00032093822956080764
142.0,38.0,-0.0008012950420379639
142.0,42.0,-0.0031591713428497092
142.0,44.0,-0.0016762465238571167
142.0,46.0,-0.0006711840629577415
142.0,48.0,5.4955482482910156e-05
142.0,50.0,-0.0021260619163513406
142.0,52.0,0.0008927583694458008
142.0,54.0,-0.0005927443504333274
142.0,56.0,-3.315210342402786e-05
142.0,58.0,-0.0006140410900116189
144.0,-12.0,-0.0007686376571655051
144.0,-10.0,-0.000648128986358687
144.0,-8.0,-0.0004307210445404497
144.0,-2.0,3.34918498993142e-05
144.0,0.0,1.2454390525773462e-05
144.0,2.0,6.154179573059082e-06
144.0,4.0,2.151131629946068e-05
144.0,6.0,1.2186169624284204e-05
144.0,8.0,-2.950131893153518e-05
144.0,10.0,-5.0526857376054224e-05
144.0,12.0,-6.181597709653541e-05
144.0,14.0,-0.0001688539981842263
144.0,16.0,-0.0003276735544204268
144.0,18.0,-0.0004339933395385298
144.0,20.0,-0.0003146141767501609
144.0,22.0,0.00035869479179384545
144.0,24.0,0.001389744877815291
144.0,26.0,0.002367308735847451
144.0,28.0,0.0017522722482681274
144.0,30.0,0.0014164209365844505
144.0,32.0,0.0011006325483322588
144.0,34.0,0.0009546101093291792
144.0,36.0,-0.00025010406970982224
144.0,38.0,-0.002310600876808122
144.0,40.0,-0.003918841481208801
144.0,42.0,-0.0050822764635085615
144.0,46.0,-0.005210635066032365
144.0,48.0,-0.004480230808258101
144.0,50.0,-0.0025797843933105247
144.0,52.0,-0.00022028982639310524
144.0,54.0,0.00014269649982456833
144.0,56.0,5.209147930140823e-05
144.0,58.0,-0.0016052812337875588
144.0,60.0,-0.0020784944295882957
146.0,-16.0,-0.0003391087055206743
146.0,-14.0,-0.00039514899253845215
146.0,-12.0,-0.0005280405282974687
146.0,-10.0,-0.00030957162380218506
146.0,-8.0,-0.00023865997791294724
146.0,-4.0,0.0002925395965576172
146.0,-2.0,0.0001440882682800515
146.0,0.0,9.92506742477639e-05
146.0,2.0,4.3681263923622815e-05
146.0,4.0,6.874203681950242e-05
146.0,6.0,6.411671638484329e-05
146.0,8.0,1.2817978858992163e-05
146.0,10.0,-1.2370944023176733e-05
146.0,12.0,-4.746615886686012e-05
146.0,14.0,-0.00012108683586120605
146.0,16.0,-0.0002492159605026467
146.0,18.0,-0.0003423810005187544
146.0,20.0,-0.0003207772970199585
146.0,22.0,0.0002214193344116655
146.0,24.0,0.00118269622325895
146.0,26.0,0.002360612154006958
146.0,28.0,0.0019040316343307273
146.0,30.0,0.0011239886283874734
146.0,32.0,0.0012062728404999001
146.0,34.0,0.0006909430027007835
146.0,36.0,-0.0006583094596862571
146.0,38.0,-0.003117120265960671
146.0,40.0,-0.0036879628896713257
146.0,42.0,-0.0030501157045363936
146.0,44.0,-0.0006142199039459451
146.0,46.0,8.96155834197998e-05
146.0,48.0,0.0003118664026260376
146.0,50.0,-0.0005433291196823564
146.0,52.0,0.00011420845985410377
146.0,54.0,-5.9604644775390625e-06
146.0,56.0,0.00032456815242765114
146.0,58.0,-0.0011578828096390215
146.0,60.0,-8.276104927040784e-06
148.0,-18.0,-0.0003685802221298218
148.0,-16.0,-0.0004126787185668723
148.0,-14.0,-0.0004949510097503884
148.0,-12.0,-0.00020216703414921433
148.0,-10.0,-0.0002922832965850386
148.0,-6.0,0.000437459349632241
148.0,-4.0,0.00040137767791748047
148.0,-2.0,0.00026463866233827904
148.0,0.0,0.0002076864242553933
148.0,2.0,0.00016510486602783203
148.0,4.0,0.0001355201005935891
148.0,6.0,0.00012132525444030762
148.0,8.0,5.455017089839309e-05
148.0,10.0,9.170174598671643e-06
148.0,12.0,-1.8352270126364978e-05
148.0,14.0,-8.539855480194092e-05
148.0,16.0,-0.00024149715900423363
148.0,18.0,-0.0004500061273574607
148.0,20.0,-0.0002968132495879683
148.0,22.0,1.9189715385392603e-05
148.0,24.0,0.0009099215269088301
148.0,26.0,0.0018062353134155051
148.0,28.0,0.0025832086801529375
148.0,30.0,0.001415851712226912
148.0,32.0,0.0012118995189667192
148.0,34.0,0.0004967749118804932
148.0,36.0,-0.0008392751216887984
148.0,38.0,-0.0034326195716858354
148.0,40.0,-0.004647547006607078
148.0,42.0,-0.001703307032585144
148.0,44.0,9.92983579635176e-05
148.0,46.0,0.0002873867750168291
148.0,48.0,3.1065940856889185e-05
148.0,50.0,-0.0002461731433868186
148.0,52.0,4.483461380000442e-05
148.0,54.0,-2.620816230769485e-05
148.0,56.0,-3.4990906715437475e-05
148.0,58.0,-0.0009231805801391824
148.0,60.0,1.0490417480246705e-06
150.0,-22.0,-0.00042279958724977806
150.0,-20.0,-0.00027995407581327125
150.0,-18.0,-0.00015571415424342483
150.0,-16.0,-0.00012491047382356957
150.0,-14.0,-0.00020850598812105492
150.0,-12.0,-0.00019167959690091774
150.0,-10.0,-1.7702579497846926e-06
150.0,-8.0,0.0003364771604538186
150.0,-6.0,0.0005421221256256548
150.0,-4.0,0.00028328001499178246
150.0,-2.0,0.00042591989040374756
150.0,0.0,0.00028173625469207764
150.0,2.0,0.00017624199390409157
150.0,4.0,0.0001144111156463623
150.0,6.0,8.071362972261742e-05
150.0,8.0,8.234083652491897e-05
150.0,10.0,2.549588680267334e-05
150.0,12.0,-3.7041306495622095e-05
150.0,14.0,-7.561147212986619e-05
150.0,16.0,-0.00021476149559018776
150.0,18.0,-0.000428089499473594
150.0,20.0,-0.00035437941551208496
150.0,22.0,-0.0001625835895537886
150.0,24.0,0.00042723119258880615
