Clust,Lon,Lat,Shap2014,Shap2015,Shap2016,Shap2017,Shap2018,Shap2019,Shap2020,Shap2021
1,124,-16,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,124,-14,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,124,-12,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,124,-10,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,124,-8,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,124,-6,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,124,-4,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,124,-2,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
2,124,0,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,124,2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,124,4,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,124,6,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,124,8,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,124,10,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,124,12,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,124,14,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,124,16,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
3,124,18,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,124,20,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,124,22,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,124,24,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,124,26,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,124,28,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
4,124,30,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
4,124,32,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
4,124,34,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
4,124,36,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
4,124,38,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
4,124,40,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
1,126,-14,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,126,-12,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,126,-10,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,126,-8,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,126,-6,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,126,-4,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,126,-2,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
2,126,0,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,126,2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,126,4,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,126,6,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,126,10,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,126,12,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,126,14,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,126,16,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
3,126,18,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,126,20,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,126,22,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,126,24,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,126,26,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,126,28,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
5,126,30,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,126,32,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
4,126,34,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
4,126,36,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
4,126,38,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
4,126,40,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
1,128,-12,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,128,-10,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,128,-8,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,128,-6,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,128,-4,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,128,-2,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
2,128,0,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,128,2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,128,4,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,128,6,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,128,8,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,128,10,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,128,12,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,128,14,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,128,16,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
3,128,18,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,128,20,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,128,22,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,128,24,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,128,26,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,128,28,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
5,128,30,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,128,32,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,128,34,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
1,130,-14,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,130,-12,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,130,-10,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,130,-8,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,130,-6,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,130,-4,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,130,-2,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
2,130,0,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,130,2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,130,4,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,130,6,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,130,8,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
