Clust,Lon,Lat,Gain
1,124,-16,0.005211432
1,124,-14,0.005211432
1,124,-12,0.005211432
1,124,-10,0.005211432
1,124,-8,0.005211432
1,124,-6,0.005211432
1,124,-4,0.005211432
1,124,-2,0.005211432
2,124,0,0.004760013
2,124,2,0.004760013
2,124,4,0.004760013
2,124,6,0.004760013
2,124,8,0.004760013
2,124,10,0.004760013
2,124,12,0.004760013
2,124,14,0.004760013
2,124,16,0.004760013
3,124,18,0.003348898
3,124,20,0.003348898
3,124,22,0.003348898
3,124,24,0.003348898
3,124,26,0.003348898
3,124,28,0.003348898
4,124,30,0.00349705
4,124,32,0.00349705
4,124,34,0.00349705
4,124,36,0.00349705
4,124,38,0.00349705
4,124,40,0.00349705
1,126,-14,0.005211432
1,126,-12,0.005211432
1,126,-10,0.005211432
1,126,-8,0.005211432
1,126,-6,0.005211432
1,126,-4,0.005211432
1,126,-2,0.005211432
2,126,0,0.004760013
2,126,2,0.004760013
2,126,4,0.004760013
2,126,6,0.004760013
2,126,10,0.004760013
2,126,12,0.004760013
2,126,14,0.004760013
2,126,16,0.004760013
3,126,18,0.003348898
3,126,20,0.003348898
3,126,22,0.003348898
3,126,24,0.003348898
3,126,26,0.003348898
3,126,28,0.003348898
5,126,30,0.003994014
5,126,32,0.003994014
4,126,34,0.00349705
4,126,36,0.00349705
4,126,38,0.00349705
4,126,40,0.00349705
1,128,-12,0.005211432
1,128,-10,0.005211432
1,128,-8,0.005211432
1,128,-6,0.005211432
1,128,-4,0.005211432
1,128,-2,0.005211432
2,128,0,0.004760013
2,128,2,0.004760013
2,128,4,0.004760013
2,128,6,0.004760013
2,128,8,0.004760013
2,128,10,0.004760013
2,128,12,0.004760013
2,128,14,0.004760013
2,128,16,0.004760013
3,128,18,0.003348898
3,128,20,0.003348898
3,128,22,0.003348898
3,128,24,0.003348898
3,128,26,0.003348898
3,128,28,0.003348898
5,128,30,0.003994014
5,128,32,0.003994014
5,128,34,0.003994014
1,130,-14,0.005211432
1,130,-12,0.005211432
1,130,-10,0.005211432
1,130,-8,0.005211432
1,130,-6,0.005211432
1,130,-4,0.005211432
1,130,-2,0.005211432
2,130,0,0.004760013
2,130,2,0.004760013
2,130,4,0.004760013
2,130,6,0.004760013
2,130,8,0.004760013
2,130,10,0.004760013
2,130,12,0.004760013
2,130,14,0.004760013
2,130,16,0.004760013
3,130,18,0.003348898
3,130,20,0.003348898
3,130,22,0.003348898
3,130,24,0.003348898
3,130,26,0.003348898
3,130,28,0.003348898
5,130,30,0.003994014
5,130,32,0.003994014
5,130,34,0.003994014
5,130,36,0.003994014
6,130,38,0.003328186
6,130,40,0.003328186
4,130,42,0.00349705
1,132,-12,0.005211432
1,132,-10,0.005211432
1,132,-8,0.005211432
1,132,-6,0.005211432
1,132,-4,0.005211432
1,132,-2,0.005211432
2,132,0,0.004760013
2,132,2,0.004760013
2,132,4,0.004760013
2,132,6,0.004760013
2,132,8,0.004760013
2,132,10,0.004760013
2,132,12,0.004760013
