Clust,Lon,Lat,Lime2014,Lime2015,Lime2016,Lime2017,Lime2018,Lime2019,Lime2020,Lime2021
1,124,-16,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,124,-14,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,124,-12,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,124,-10,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,124,-8,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,124,-6,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,124,-4,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,124,-2,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
2,124,0,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,124,2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,124,4,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,124,6,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,124,8,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,124,10,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,124,12,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,124,14,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,124,16,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
3,124,18,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,124,20,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,124,22,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,124,24,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,124,26,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,124,28,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
4,124,30,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
4,124,32,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
4,124,34,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
4,124,36,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
4,124,38,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
4,124,40,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
1,126,-14,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,126,-12,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,126,-10,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,126,-8,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,126,-6,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,126,-4,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,126,-2,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
2,126,0,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,126,2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,126,4,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,126,6,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,126,10,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,126,12,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,126,14,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,126,16,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
3,126,18,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,126,20,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,126,22,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,126,24,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,126,26,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,126,28,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
5,126,30,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,126,32,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
4,126,34,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
4,126,36,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
4,126,38,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
4,126,40,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
1,128,-12,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,128,-10,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,128,-8,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,128,-6,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,128,-4,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,128,-2,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
2,128,0,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,128,2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,128,4,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,128,6,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,128,8,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,128,10,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,128,12,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,128,14,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,128,16,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
3,128,18,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,128,20,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,128,22,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,128,24,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,128,26,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,128,28,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
5,128,30,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,128,32,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,128,34,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
1,130,-14,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,130,-12,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,130,-10,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,130,-8,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,130,-6,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,130,-4,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,130,-2,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
2,130,0,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,130,2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,130,4,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,130,6,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,130,8,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,130,10,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,130,12,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,130,14,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,130,16,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
3,130,18,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,130,20,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,130,22,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,130,24,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,130,26,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,130,28,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
5,130,30,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,130,32,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,130,34,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,130,36,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
6,130,38,-0.038920986,-0.047413871,-0.050318348,-0.064460455,-0.060394076,-0.049421532,-0.054058964,-0.070645333
6,130,40,-0.038920986,-0.047413871,-0.050318348,-0.064460455,-0.060394076,-0.049421532,-0.054058964,-0.070645333
4,130,42,-0.032365427,-0.043216193,-0.04320952,-0.086915999,-0.02346836,-0.047965549,-0.06947875,-0.057202655
1,132,-12,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,132,-10,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,132,-8,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,132,-6,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,132,-4,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,132,-2,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
2,132,0,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,132,2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,132,4,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,132,6,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,132,8,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,132,10,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,132,12,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,132,14,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,132,16,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
3,132,18,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,132,20,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,132,22,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,132,24,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,132,26,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,132,28,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
5,132,30,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,132,32,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,132,34,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,132,36,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
6,132,38,-0.038920986,-0.047413871,-0.050318348,-0.064460455,-0.060394076,-0.049421532,-0.054058964,-0.070645333
6,132,40,-0.038920986,-0.047413871,-0.050318348,-0.064460455,-0.060394076,-0.049421532,-0.054058964,-0.070645333
6,132,42,-0.038920986,-0.047413871,-0.050318348,-0.064460455,-0.060394076,-0.049421532,-0.054058964,-0.070645333
1,134,-10,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,134,-8,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,134,-6,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,134,-4,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
2,134,-2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,0,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,4,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,6,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,8,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,10,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,12,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,14,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,134,16,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
3,134,18,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,134,20,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,134,22,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,134,24,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,134,26,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,134,28,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
5,134,30,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,134,32,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,134,34,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
